Latitude,Longitude,pH,EC,N,P,K,OM,Sand,Clay,Silt
34.35346,72.29789,8,0.89,1.11,8.11,148,1.73,40,18,42
34.35239,72.29226,8.22,0.2,1.13,3.13,124,1.21,36,16,48
34.20848,71.91112,8.14,0.26,1.04,3.13,132,1.07,6,24,70
34.17653,71.93039,8.17,0.21,1.58,1.16,108,1.21,14,26,60
34.19066,71.91681,8.03,0.25,1.77,2.28,148,0.97,14,26,60
34.29131,72.17005,8.11,0.68,2.94,1.72,110,0.86,22,24,54
34.29937,72.18517,7.9,0.25,1.72,1.13,100,1.86,24,20,56
34.30915,72.28744,7.97,0.24,1.57,1.09,96,0.69,10,26,64
34.31163,72.27788,8.09,0.16,2.29,3.02,94,0.86,28,14,58
34.19748,72.13887,8.01,0.27,1.77,3.39,86,1.79,20,20,60
34.16033,72.14498,8.46,2.29,2.15,4.36,88,1.76,11.2,16.8,72
34.1688,72.17597,8.32,0.26,1.52,3.28,82,1.69,7.2,18.8,74
34.16378,72.16911,8.26,0.23,1.32,6.18,136,1.21,7.2,20.8,72
34.1661,72.15908,8.3,0.28,1.88,2.24,84,1.19,20,38,42
34.30224,72.18523,8.06,0.33,2.02,8.44,94,1.14,17,38,45
34.30826,72.18631,8.1,0.2,2.77,7.74,114,1.65,10,39,51
34.25902,72.07562,8.23,0.17,1.29,5.33,72,1.79,11.2,28.8,60
34.25979,72.08343,8.29,0.29,2.05,7.75,100,1.87,13.2,28.8,58
34.20882,71.96216,7.97,0.24,1.98,6.06,160,1.48,6,20,74
34.19568,71.96383,7.72,0.19,2.82,3.38,92,0.97,8,25,67
34.28457,72.22243,7.61,2.58,1,3.75,82,1.87,23,35,42
34.27915,72.21685,8.04,0.18,1.15,1.88,96,0.35,21.2,19.2,59.6
34.27469,72.14557,7.7,0.39,1.99,3.13,108,1.07,6,18,76
34.27855,72.14739,8.02,0.22,1.84,4.74,140,0.72,24,22.4,53.6
34.18725,71.99017,7.76,0.26,1.99,1.62,130,1.21,9,27,64
34.17549,71.98579,7.9,0.2,0.76,7.2,148,0.97,22,19.2,58.8
34.13219,72.09306,8,0.32,0.74,2.25,114,1.31,14,29.2,56.8
34.13231,72.0766,8.1,0.27,0.8,7.24,174,1.41,20,17.2,62.8
34.23909,72.08686,8.14,0.19,0.62,1.26,106,0.97,14,29.2,56.8
34.24062,72.05022,7.96,0.24,0.56,2.76,78,1.14,13,35,52
34.22951,71.99627,7.87,0.3,0.62,3.09,124,1.03,17.6,30,52.4
34.2295,71.99643,7.91,0.25,0.87,7.93,202,1.21,13.6,30,56.4
34.24813,72.02035,7.91,0.16,0.26,2.72,94,0.83,11.6,34,56.4
34.2484,72.00312,8.03,0.18,0.33,2.83,108,0.84,14,37,49
34.21658,72.07166,8.3,0.24,0.36,2.76,132,0.72,5,23,72
34.21717,72.07465,8.24,0.29,0.87,4.15,248,0.69,13.6,30,56.4
34.22913,72.08326,8.02,0.23,1.01,6.03,168,0.79,10,48,42
34.17803,72.11084,7.7,0.53,0.99,1.18,254,1,3.6,36,60.4
34.16552,72.11424,7.71,0.45,1.66,6.26,210,0.86,7,36,57
34.16823,71.96869,7.72,0.34,0.91,4.4,216,1.24,19,23,58
34.16688,71.96884,8.05,5.77,0.64,2.2,166,0.93,12,22,66
34.22694,72.13306,7.89,0.6,0.74,3.23,84,0.76,15,39,46
34.22766,72.13314,7.89,0.33,0.91,7.8,78,0.89,12,37,51
34.34498,72.18095,7.86,0.23,0.85,9.08,124,1.1,4.4,32,63.6
34.34609,72.18227,7.71,0.28,0.85,3.81,136,0.95,11,18,71
34.18536,72.00713,7.82,0.22,1.42,2.68,220,0.93,19,22,59
34.18505,72.00662,8.08,0.27,1.06,7.4,236,0.69,33,22,45
34.15557,72.18651,7.88,0.18,0.72,7.36,170,0.72,53,26,21
34.3124,72.22774,7.94,0.16,2.04,4.83,190,0.52,58,18,24
34.33399,72.29852,7.96,0.16,0.54,7.87,134,0.17,14,22,64
34.33365,72.29832,7.81,0.14,0.7,1.62,120,0.34,13.2,22,65
34.12735,72.05956,7.96,0.23,1.99,4.87,154,0.69,18.4,23.2,58.4
34.12751,72.05935,8.32,0.28,0.54,1.29,154,0.86,30.4,18,51.6
34.20029,72.10955,8.08,0.21,0.51,6.55,84,0.9,20,39,41
34.15584,72.11613,8.14,0.4,1.88,6.66,160,1.79,12.4,26,61.6
34.15777,72.11021,8.03,0.34,2.66,7.07,162,1.38,10.4,22,68
34.34453,72.04369,7.9,0.33,1.5861,6.740884,140,1.79,21,13,66
34.36694,72.04174,8.06,0.209,1.363702,2.40344,144,1.73,13.2,24.8,62
34.34149,72.0614,7.79,0.355,1.505228,6.226272,120,1.73,3.2,16.8,80
34.47539,72.00246,7.9,0.225,2.566673,7.145222,134,1.14,19.2,12.8,68
34.38157,72.00175,7.93,0.261,1.404138,1.3007,96,1.41,13.2,12.8,74
34.39154,71.99436,7.97,0.218,2.647545,3.984034,98,1.41,8,20,72
34.42798,72.04599,7.88,0.211,1.303048,6.005724,102,1.07,18,33,49
34.43021,72.05055,8.14,0.216,2.39482,2.293166,148,0.69,9.2,18.8,72
34.26427,72.22051,8.1,0.235,1.232285,6.152756,118,1.48,15.2,24,60.8
34.2652,72.22901,7.92,0.238,1.35,6.741,178,1.03,11.2,24,64.8
34.32768,72.03955,7.98,0.236,3.941497,9.57125,266,0.72,5.2,24,70.8
34.36022,72.02958,7.81,0.232,2.93,5.932,154,1.38,14.4,26.4,59.2
34.30672,72.0823,7.99,0.205,1.363702,4.60892,174,1.2,14.4,26.4,59.2
34.32718,72.04954,7.74,0.276,2.73,6.042,248,1.5,4.4,34.4,61.2
34.40003,71.99381,7.86,0.219,1.444574,8.615542,196,1.2,8,27,65
34.42688,71.93569,7.7,0.249,2.13,6.962,164,0.51,4.4,28.4,67.2
34.18165,72.09326,7.77,0.286,2.465583,1.75916,168,0.86,0.4,38.4,61.2
34.33247,71.86571,8.47,0.194,2.46,9.341,192,0.86,6.4,30.8,62.8
34.32981,71.86663,8.32,0.292,0.54,2.162,116,0.96,12,37,51
34.2894,71.91958,8.19,0.228,1.11,2.727,122,0.89,8,23,69
34.28518,71.89384,8.14,0.242,1.06,2.041,106,0.41,10.4,26.8,62.8
34.29318,71.88779,7.96,0.329,1.01,1.759,212,0.37,14.4,24.8,60.8
34.26711,71.94463,8.1,0.235,1.61,5.026,90,1.17,17.2,30,52.8
34.26755,71.94223,8,0.255,0.87,6.921,224,1.51,7.2,38,54.8
34.36765,71.90087,8,0.242,0.74,5.429,112,1.17,13.2,36,50.8
34.36501,71.90268,7.94,0.257,0.56,8.212,144,1.03,7.2,36,56.8
34.3926,71.89901,7.91,0.273,0.71,5.631,146,1.06,11.2,34,54.8
34.37168,71.89838,7.88,0.216,0.67,6.599,142,0.85,23.2,28,48.8
34.32716,71.90392,8.3,0.272,0.68,2.485,164,1.79,15.2,34,50.8
34.32531,71.88799,8.26,0.188,0.46,0.67,150,0.34,11.2,34.8,54
34.34288,71.93713,8.09,0.232,1.01,2.364,254,0.72,11.2,36.8,52
34.33295,71.94821,7.84,0.201,0.95,7.544,176,0.41,18,39,43
34.37527,71.92477,7.65,0.216,0.68,1.823,150,0.44,17.2,28.8,54
34.39533,71.91334,7.6,0.181,0.59,3.121,110,0.62,9,39,52
34.39484,71.91432,7.59,0.132,0.66,2.31,110,0.82,15.2,28.8,56
34.28958,71.92068,7.96,0.282,1.5,2.31,134,1,11.2,38.8,50
34.28883,71.92034,7.83,0.222,0.89,1.498,148,0.51,7.2,34.8,58
34.32716,71.90392,8.41,0.288,0.99,2.716,132,1.13,17.2,24.8,58
34.29501,71.93472,8.46,0.18,0.64,2.756,126,1.24,11,22,67
34.37423,71.98307,8.03,0.224,0.74,1.295,220,1.62,12.4,28.8,58.8
34.36239,71.92985,8.08,0.204,0.82,1.093,148,1.24,20,39,41
34.25459,71.92558,8.07,0.207,0.6,1.295,110,0.82,8,21,71
34.25414,71.92522,8.03,0.258,0.68,0.362,164,1.38,10.4,38.8,50.8
34.21796,71.95964,8.04,0.231,0.87,1.985,142,0.67,6.4,34.8,58.8
34.24532,71.8944,7.8,0.349,0.66,7.666,220,1.1,12,33,55
34.25126,71.86045,8,0.234,0.44,1.255,114,0.65,15,10,75
34.486,71.961,7.9,0.225,2.57,7.145,134,1.14,14,11,75
34.529,72.134,7.88,0.211,1.3,6.006,102,1.07,12.4,28.8,58.8
